vgs	-I(Vds)
Step Information: Vds=600m  (Run: 1/41)
1.460000000000001e+000	7.956041e-004
1.480000000000001e+000	8.117721e-004
1.500000000000001e+000	8.277259e-004
1.520000000000001e+000	8.434505e-004
1.540000000000001e+000	8.589320e-004
1.560000000000001e+000	8.741571e-004
1.580000000000001e+000	8.891138e-004
1.600000000000001e+000	9.037917e-004
1.620000000000001e+000	9.181821e-004
1.640000000000001e+000	9.322782e-004
1.660000000000001e+000	9.460749e-004
1.680000000000001e+000	9.595691e-004
1.700000000000001e+000	9.727594e-004
1.720000000000001e+000	9.856459e-004
1.740000000000001e+000	9.982301e-004
1.760000000000001e+000	1.010515e-003
1.780000000000001e+000	1.022504e-003
1.800000000000000e+000	1.034201e-003
Step Information: Vds=690m  (Run: 4/41)
0.000000000000000e+000	1.671786e-010
2.000000000000000e-002	3.089639e-010
4.000000000000000e-002	5.707127e-010
6.000000000000000e-002	1.052784e-009
8.000000000000000e-002	1.937850e-009
1.000000000000000e-001	3.556085e-009
1.200000000000000e-001	6.498767e-009
1.400000000000000e-001	1.181209e-008
1.600000000000000e-001	2.131878e-008
1.800000000000000e-001	3.813351e-008
2.000000000000000e-001	6.745407e-008
2.200000000000000e-001	1.177171e-007
2.400000000000000e-001	2.021995e-007
2.600000000000000e-001	3.411329e-007
2.800000000000000e-001	5.643995e-007
3.000000000000000e-001	9.148787e-007
3.200000000000000e-001	1.452399e-006
3.400000000000000e-001	2.257784e-006
3.600000000000000e-001	3.435578e-006
3.800000000000001e-001	5.113141e-006
4.000000000000001e-001	7.433807e-006
4.200000000000001e-001	1.054353e-005
4.400000000000001e-001	1.457333e-005
4.600000000000001e-001	1.962238e-005
4.800000000000002e-001	2.574688e-005
5.000000000000001e-001	3.295752e-005
5.200000000000001e-001	4.122500e-005
5.400000000000002e-001	5.049038e-005
5.600000000000002e-001	6.067687e-005
5.800000000000002e-001	7.170005e-005
6.000000000000002e-001	8.347546e-005
6.200000000000002e-001	9.592334e-005
6.400000000000002e-001	1.089711e-004
6.600000000000003e-001	1.225539e-004
6.800000000000003e-001	1.366151e-004
7.000000000000003e-001	1.511046e-004
7.200000000000003e-001	1.659788e-004
7.400000000000003e-001	1.811995e-004
7.600000000000003e-001	1.967327e-004
7.800000000000004e-001	2.125483e-004
8.000000000000004e-001	2.286193e-004
8.200000000000004e-001	2.449214e-004
8.400000000000004e-001	2.614324e-004
8.600000000000004e-001	2.781322e-004
8.800000000000005e-001	2.950022e-004
9.000000000000005e-001	3.120252e-004
9.200000000000005e-001	3.291854e-004
9.400000000000005e-001	3.464678e-004
9.600000000000005e-001	3.638588e-004
9.800000000000005e-001	3.813453e-004
1.000000000000000e+000	3.989151e-004
1.020000000000001e+000	4.165566e-004
1.040000000000001e+000	4.342589e-004
1.060000000000001e+000	4.520115e-004
1.080000000000001e+000	4.698045e-004
1.100000000000001e+000	4.876283e-004
1.120000000000001e+000	5.054736e-004
1.140000000000001e+000	5.233313e-004
1.160000000000001e+000	5.411927e-004
1.180000000000001e+000	5.590490e-004
1.200000000000001e+000	5.768917e-004
1.220000000000001e+000	5.947122e-004
1.240000000000001e+000	6.125018e-004
1.260000000000001e+000	6.302517e-004
1.280000000000001e+000	6.479531e-004
1.300000000000001e+000	6.655969e-004
1.320000000000001e+000	6.831734e-004
1.340000000000001e+000	7.006728e-004
1.360000000000001e+000	7.180849e-004
1.380000000000001e+000	7.353987e-004
1.400000000000001e+000	7.526030e-004
1.420000000000001e+000	7.696858e-004
1.440000000000001e+000	7.866348e-004
1.460000000000001e+000	8.034367e-004
1.480000000000001e+000	8.200780e-004
1.500000000000001e+000	8.365448e-004
1.520000000000001e+000	8.528226e-004
1.540000000000001e+000	8.688971e-004
1.560000000000001e+000	8.847540e-004
1.580000000000001e+000	9.003792e-004
1.600000000000001e+000	9.157594e-004
1.620000000000001e+000	9.308821e-004
1.640000000000001e+000	9.457361e-004
1.660000000000001e+000	9.603116e-004
1.680000000000001e+000	9.746004e-004
1.700000000000001e+000	9.885959e-004
1.720000000000001e+000	1.002293e-003
1.740000000000001e+000	1.015690e-003
1.760000000000001e+000	1.028784e-003
1.780000000000001e+000	1.041577e-003
1.800000000000000e+000	1.054069e-003
Step Information: Vds=720m  (Run: 5/41)
0.000000000000000e+000	1.782769e-010
2.000000000000000e-002	3.294599e-010
4.000000000000000e-002	6.085144e-010
6.000000000000000e-002	1.122350e-009
8.000000000000000e-002	2.065473e-009
1.000000000000000e-001	3.789218e-009
1.200000000000000e-001	6.922230e-009
1.400000000000000e-001	1.257561e-008
1.600000000000000e-001	2.268247e-008
1.800000000000000e-001	4.054032e-008
2.000000000000000e-001	7.164049e-008
2.200000000000000e-001	1.248740e-007
2.400000000000000e-001	2.141945e-007
2.600000000000000e-001	3.608035e-007
2.800000000000000e-001	5.959235e-007
3.000000000000000e-001	9.642220e-007
3.200000000000000e-001	1.527809e-006
3.400000000000000e-001	2.370224e-006
3.600000000000000e-001	3.598908e-006
3.800000000000001e-001	5.343769e-006
4.000000000000001e-001	7.749651e-006
4.200000000000001e-001	1.096235e-005
4.400000000000001e-001	1.511080e-005
4.600000000000001e-001	2.029051e-005
4.800000000000002e-001	2.655312e-005
5.000000000000001e-001	3.390481e-005
5.200000000000001e-001	4.231240e-005
5.400000000000002e-001	5.171417e-005
5.600000000000002e-001	6.203158e-005
5.800000000000002e-001	7.317939e-005
6.000000000000002e-001	8.507293e-005
6.200000000000002e-001	9.763268e-005
6.400000000000002e-001	1.107865e-004
6.600000000000003e-001	1.244701e-004
6.800000000000003e-001	1.386274e-004
7.000000000000003e-001	1.532089e-004
7.200000000000003e-001	1.681715e-004
7.400000000000003e-001	1.834774e-004
7.600000000000003e-001	1.990932e-004
7.800000000000004e-001	2.149891e-004
8.000000000000004e-001	2.311384e-004
8.200000000000004e-001	2.475171e-004
8.400000000000004e-001	2.641035e-004
8.600000000000004e-001	2.808776e-004
8.800000000000005e-001	2.978212e-004
9.000000000000005e-001	3.149173e-004
9.200000000000005e-001	3.321505e-004
9.400000000000005e-001	3.495061e-004
9.600000000000005e-001	3.669707e-004
9.800000000000005e-001	3.845315e-004
1.000000000000000e+000	4.021768e-004
1.020000000000001e+000	4.198953e-004
1.040000000000001e+000	4.376764e-004
1.060000000000001e+000	4.555102e-004
1.080000000000001e+000	4.733870e-004
1.100000000000001e+000	4.912979e-004
1.120000000000001e+000	5.092341e-004
1.140000000000001e+000	5.271871e-004
1.160000000000001e+000	5.451489e-004
1.180000000000001e+000	5.631115e-004
1.200000000000001e+000	5.810671e-004
1.220000000000001e+000	5.990081e-004
1.240000000000001e+000	6.169269e-004
1.260000000000001e+000	6.348160e-004
1.280000000000001e+000	6.526675e-004
1.300000000000001e+000	6.704739e-004
1.320000000000001e+000	6.882271e-004
1.340000000000001e+000	7.059192e-004
1.360000000000001e+000	7.235415e-004
1.380000000000001e+000	7.410854e-004
1.400000000000001e+000	7.585417e-004
1.420000000000001e+000	7.759007e-004
1.440000000000001e+000	7.931524e-004
1.460000000000001e+000	8.102861e-004
1.480000000000001e+000	8.272905e-004
1.500000000000001e+000	8.441539e-004
1.520000000000001e+000	8.608639e-004
1.540000000000001e+000	8.774076e-004
1.560000000000001e+000	8.937718e-004
1.580000000000001e+000	9.099430e-004
1.600000000000001e+000	9.259075e-004
1.620000000000001e+000	9.416516e-004
1.640000000000001e+000	9.571622e-004
1.660000000000001e+000	9.724267e-004
1.680000000000001e+000	9.874332e-004
1.700000000000001e+000	1.002171e-003
1.720000000000001e+000	1.016631e-003
1.740000000000001e+000	1.030805e-003
1.760000000000001e+000	1.044688e-003
1.780000000000001e+000	1.058274e-003
1.800000000000000e+000	1.071561e-003
Step Information: Vds=750m  (Run: 6/41)
0.000000000000000e+000	1.900664e-010
2.000000000000000e-002	3.512314e-010
4.000000000000000e-002	6.486632e-010
6.000000000000000e-002	1.196221e-009
8.000000000000000e-002	2.200953e-009
1.000000000000000e-001	4.036602e-009
1.200000000000000e-001	7.371342e-009
1.400000000000000e-001	1.338481e-008
1.600000000000000e-001	2.412647e-008
1.800000000000000e-001	4.308608e-008
2.000000000000000e-001	7.606263e-008
2.200000000000000e-001	1.324219e-007
2.400000000000000e-001	2.268220e-007
2.600000000000000e-001	3.814702e-007
2.800000000000000e-001	6.289742e-007
3.000000000000000e-001	1.015841e-006
3.200000000000000e-001	1.606513e-006
3.400000000000000e-001	2.487285e-006
3.600000000000000e-001	3.768490e-006
3.800000000000001e-001	5.582518e-006
4.000000000000001e-001	8.075582e-006
4.200000000000001e-001	1.139313e-005
4.400000000000001e-001	1.566184e-005
4.600000000000001e-001	2.097340e-005
4.800000000000002e-001	2.737485e-005
5.000000000000001e-001	3.486785e-005
5.200000000000001e-001	4.341545e-005
5.400000000000002e-001	5.295321e-005
