vds	abs(I(Vds))
Step Information: Vgs=600m  (Run: 1/5)
1.800000000000000e-001	2.965054e-004
2.000000000000000e-001	3.217507e-004
2.200000000000000e-001	3.455726e-004
2.400000000000000e-001	3.679964e-004
2.600000000000000e-001	3.890448e-004
2.800000000000000e-001	4.087376e-004
3.000000000000000e-001	4.270915e-004
3.200000000000000e-001	4.441201e-004
3.400000000000000e-001	4.598337e-004
3.600000000000000e-001	4.742410e-004
3.800000000000001e-001	4.873503e-004
4.000000000000001e-001	4.991745e-004
4.200000000000001e-001	5.097372e-004
4.400000000000001e-001	5.190819e-004
4.600000000000001e-001	5.272798e-004
4.800000000000002e-001	5.344337e-004
5.000000000000001e-001	5.406728e-004
5.200000000000001e-001	5.461400e-004
5.400000000000002e-001	5.509768e-004
5.600000000000002e-001	5.553107e-004
5.800000000000002e-001	5.592495e-004
6.000000000000002e-001	5.628800e-004
6.200000000000002e-001	5.662699e-004
6.400000000000002e-001	5.694715e-004
6.600000000000003e-001	5.725248e-004
6.800000000000003e-001	5.754604e-004
7.000000000000003e-001	5.783018e-004
7.200000000000003e-001	5.810671e-004
7.400000000000003e-001	5.837705e-004
7.600000000000003e-001	5.864232e-004
7.800000000000004e-001	5.890339e-004
8.000000000000004e-001	5.916100e-004
8.200000000000004e-001	5.941569e-004
8.400000000000004e-001	5.966794e-004
8.600000000000004e-001	5.991813e-004
8.800000000000005e-001	6.016659e-004
9.000000000000005e-001	6.041358e-004
9.200000000000005e-001	6.065932e-004
9.400000000000005e-001	6.090399e-004
9.600000000000005e-001	6.114775e-004
9.800000000000005e-001	6.139075e-004
1.000000000000000e+000	6.163311e-004
1.020000000000001e+000	6.187491e-004
1.040000000000001e+000	6.211625e-004
1.060000000000001e+000	6.235721e-004
1.080000000000001e+000	6.259785e-004
1.100000000000001e+000	6.283824e-004
1.120000000000001e+000	6.307841e-004
1.140000000000001e+000	6.331843e-004
1.160000000000001e+000	6.355833e-004
1.180000000000001e+000	6.379815e-004
1.200000000000001e+000	6.403791e-004
1.220000000000001e+000	6.427766e-004
1.240000000000001e+000	6.451742e-004
1.260000000000001e+000	6.475720e-004
1.280000000000001e+000	6.499703e-004
1.300000000000001e+000	6.523693e-004
1.320000000000001e+000	6.547692e-004
1.340000000000001e+000	6.571701e-004
1.360000000000001e+000	6.595722e-004
1.380000000000001e+000	6.619756e-004
1.400000000000001e+000	6.643805e-004
1.420000000000001e+000	6.667869e-004
1.440000000000001e+000	6.691949e-004
1.460000000000001e+000	6.716047e-004
1.480000000000001e+000	6.740164e-004
1.500000000000001e+000	6.764299e-004
1.520000000000001e+000	6.788454e-004
1.540000000000001e+000	6.812629e-004
1.560000000000001e+000	6.836826e-004
1.580000000000001e+000	6.861045e-004
1.600000000000001e+000	6.885286e-004
1.620000000000001e+000	6.909550e-004
1.640000000000001e+000	6.933836e-004
1.660000000000001e+000	6.958147e-004
1.680000000000001e+000	6.982482e-004
1.700000000000001e+000	7.006841e-004
1.720000000000001e+000	7.031225e-004
1.740000000000001e+000	7.055635e-004
1.760000000000001e+000	7.080070e-004
1.780000000000001e+000	7.104531e-004
1.800000000000000e+000	7.129018e-004
Step Information: Vgs=1.5  (Run: 4/5)
0.000000000000000e+000	0.000000e+000
2.000000000000000e-002	4.607573e-005
4.000000000000000e-002	9.060175e-005
6.000000000000000e-002	1.336099e-004
8.000000000000000e-002	1.751309e-004
1.000000000000000e-001	2.151946e-004
1.200000000000000e-001	2.538297e-004
1.400000000000000e-001	2.910639e-004
1.600000000000000e-001	3.269239e-004
1.800000000000000e-001	3.614353e-004
2.000000000000000e-001	3.946227e-004
2.200000000000000e-001	4.265097e-004
2.400000000000000e-001	4.571184e-004
2.600000000000000e-001	4.864701e-004
2.800000000000000e-001	5.145846e-004
3.000000000000000e-001	5.414801e-004
3.200000000000000e-001	5.671736e-004
3.400000000000000e-001	5.916799e-004
3.600000000000000e-001	6.150122e-004
3.800000000000001e-001	6.371811e-004
4.000000000000001e-001	6.581949e-004
4.200000000000001e-001	6.780590e-004
4.400000000000001e-001	6.967755e-004
4.600000000000001e-001	7.143434e-004
4.800000000000002e-001	7.307587e-004
5.000000000000001e-001	7.460151e-004
5.200000000000001e-001	7.601064e-004
5.400000000000002e-001	7.730296e-004
5.600000000000002e-001	7.847907e-004
5.800000000000002e-001	7.954111e-004
6.000000000000002e-001	8.049340e-004
6.200000000000002e-001	8.134288e-004
6.400000000000002e-001	8.209891e-004
6.600000000000003e-001	8.277259e-004
6.800000000000003e-001	8.337573e-004
7.000000000000003e-001	8.391984e-004
7.200000000000003e-001	8.441539e-004
7.400000000000003e-001	8.487141e-004
7.600000000000003e-001	8.529543e-004
7.800000000000004e-001	8.569357e-004
8.000000000000004e-001	8.607075e-004
8.200000000000004e-001	8.643087e-004
8.400000000000004e-001	8.677703e-004
8.600000000000004e-001	8.711173e-004
8.800000000000005e-001	8.743692e-004
9.000000000000005e-001	8.775420e-004
9.200000000000005e-001	8.806485e-004
9.400000000000005e-001	8.836991e-004
9.600000000000005e-001	8.867024e-004
9.800000000000005e-001	8.896652e-004
1.000000000000000e+000	8.925936e-004
1.020000000000001e+000	8.954923e-004
1.040000000000001e+000	8.983653e-004
1.060000000000001e+000	9.012163e-004
1.080000000000001e+000	9.040480e-004
1.100000000000001e+000	9.068631e-004
1.120000000000001e+000	9.096635e-004
1.140000000000001e+000	9.124512e-004
1.160000000000001e+000	9.152279e-004
1.180000000000001e+000	9.179949e-004
1.200000000000001e+000	9.207533e-004
1.220000000000001e+000	9.235044e-004
1.240000000000001e+000	9.262490e-004
1.260000000000001e+000	9.289880e-004
1.280000000000001e+000	9.317221e-004
1.300000000000001e+000	9.344520e-004
1.320000000000001e+000	9.371782e-004
1.340000000000001e+000	9.399014e-004
1.360000000000001e+000	9.426219e-004
1.380000000000001e+000	9.453402e-004
1.400000000000001e+000	9.480568e-004
1.420000000000001e+000	9.507718e-004
1.440000000000001e+000	9.534857e-004
1.460000000000001e+000	9.561987e-004
1.480000000000001e+000	9.589111e-004
1.500000000000001e+000	9.616232e-004
1.520000000000001e+000	9.643352e-004
1.540000000000001e+000	9.670472e-004
1.560000000000001e+000	9.697594e-004
1.580000000000001e+000	9.724721e-004
1.600000000000001e+000	9.751853e-004
1.620000000000001e+000	9.778993e-004
1.640000000000001e+000	9.806141e-004
1.660000000000001e+000	9.833298e-004
1.680000000000001e+000	9.860467e-004
1.700000000000001e+000	9.887648e-004
1.720000000000001e+000	9.914842e-004
1.740000000000001e+000	9.942049e-004
1.760000000000001e+000	9.969271e-004
1.780000000000001e+000	9.996509e-004
