vds	d(abs(I(Vds)))/d(VDS)
Step Information: Vgs=600m  (Run: 1/5)
1.320000000000001e+000	1.200213e-004
1.340000000000001e+000	1.200751e-004
1.360000000000001e+000	1.201377e-004
1.380000000000001e+000	1.202076e-004
1.400000000000001e+000	1.202818e-004
1.420000000000001e+000	1.203603e-004
1.440000000000001e+000	1.204447e-004
1.460000000000001e+000	1.205364e-004
1.480000000000001e+000	1.206296e-004
1.500000000000001e+000	1.207256e-004
1.520000000000001e+000	1.208260e-004
1.540000000000001e+000	1.209308e-004
1.560000000000001e+000	1.210385e-004
1.580000000000001e+000	1.211491e-004
1.600000000000001e+000	1.212626e-004
1.620000000000001e+000	1.213761e-004
1.640000000000001e+000	1.214939e-004
1.660000000000001e+000	1.216147e-004
1.680000000000001e+000	1.217355e-004
1.700000000000001e+000	1.218577e-004
1.720000000000001e+000	1.219843e-004
1.740000000000001e+000	1.221124e-004
1.760000000000001e+000	1.222390e-004
1.780000000000001e+000	1.223685e-004
1.800000000000000e+000	1.224340e-004
Step Information: Vgs=1.5  (Run: 4/5)
0.000000000000000e+000	0.000000e+000
2.000000000000000e-002	2.265044e-003
4.000000000000000e-002	2.188354e-003
6.000000000000000e-002	2.113229e-003
8.000000000000000e-002	2.039618e-003
1.000000000000000e-001	1.967469e-003
1.200000000000000e-001	1.896732e-003
1.400000000000000e-001	1.827355e-003
1.600000000000000e-001	1.759285e-003
1.800000000000000e-001	1.692471e-003
2.000000000000000e-001	1.626860e-003
2.200000000000000e-001	1.562393e-003
2.400000000000000e-001	1.499012e-003
2.600000000000000e-001	1.436654e-003
2.800000000000000e-001	1.375250e-003
3.000000000000000e-001	1.314725e-003
3.200000000000000e-001	1.254995e-003
3.400000000000000e-001	1.195965e-003
3.600000000000000e-001	1.137529e-003
3.800000000000001e-001	1.079569e-003
4.000000000000001e-001	1.021948e-003
4.200000000000001e-001	9.645140e-004
4.400000000000001e-001	9.071111e-004
4.600000000000001e-001	8.495801e-004
4.800000000000002e-001	7.917915e-004
5.000000000000001e-001	7.336930e-004
5.200000000000001e-001	6.753631e-004
5.400000000000002e-001	6.171074e-004
5.600000000000002e-001	5.595357e-004
5.800000000000002e-001	5.035821e-004
6.000000000000002e-001	4.504443e-004
6.200000000000002e-001	4.013767e-004
6.400000000000002e-001	3.574256e-004
6.600000000000003e-001	3.192050e-004
6.800000000000003e-001	2.868139e-004
7.000000000000003e-001	2.599161e-004
7.200000000000003e-001	2.378933e-004
7.400000000000003e-001	2.200104e-004
7.600000000000003e-001	2.055400e-004
7.800000000000004e-001	1.938286e-004
8.000000000000004e-001	1.843233e-004
